type,limited,url,store,price,sale,rating
golden oreo sandwich cookies,no,https://www.target.com/p/oreo-golden-sandwich-cookies-family-size-19-1oz/-/A-14766596,target,4.39,384,4.7
golden oreo sandwich cookies,no,https://www.walmart.com/ip/OREO-Golden-Sandwich-Cookies-14-3-oz/23554584?wmlspartner=wlpa&selectedSellerId=0,walmart,3.78,154,4.7
golden oreo sandwich cookies,no,https://www.dollargeneral.com/products/product-page.nabisco-oreo-golden-sandwich-cookies-19-1-oz.html,dollar general,4.75,24,4.8
golden oreo sandwich cookies,no,https://www.walgreens.com/store/c/oreo-golden-sandwich-cookies-vanilla/ID=prod6191557-product,walgreens,4.79,62,4.7
golden oreo sandwich cookies,no,https://www.cvs.com/shop/oreo-golden-sandwich-cookies-prodid-1011228,cvs,5.19,50,5
golden oreo sandwich cookies,no,,google,3.99,3283,4.6
golden oreo sandwich cookies,no,,amazon,5.63,6847,4.7
gluten free oreo sandwich cookies,no,https://www.cvs.com/shop/oreo-gluten-free-chocolate-sandwich-cookies-13-29-oz-prodid-611296?skuid=611296&cgaa=QWxsb3dHb29nbGVUb0FjY2Vzc0NWU1BhZ2Vz,cvs,6.29,8935,4.5
gluten free oreo sandwich cookies,no,https://www.walmart.com/ip/OREO-Gluten-Free-Chocolate-Sandwich-Cookies-13-29-oz/906309001?wmlspartner=wlpa&selectedSellerId=0,walmart,4.28,9225,4.4
gluten free oreo sandwich cookies,no,https://www.target.com/p/oreo-original-gluten-free-cookies-family-size-13-29oz/-/A-81550069?ref=tgt_adv_XS000000&AFID=google_pla_df_free_local&CPNG=Grocery&adgroup=71-9,target,4.39,9504,4.5
gluten free oreo sandwich cookies,no,,amazlon,4.2,756,4.8
gluten free oreo sandwich cookies,no,,google,4.39,936,4.8
double stuf gluten free oreo sandwich cookies,no,https://www.walmart.com/ip/OREO-Double-Stuf-Gluten-Free-Chocolate-Sandwich-Cookies-14-03-oz/712141409?wmlspartner=wlpa&selectedSellerId=0,walmart,4.28,177,4.28
